GroupCategory	GroupName	GroupDescription
Population	AFR___ACB	Africa from ACB
Population	AFR___ASW	Africa from ASW
Population	AFR___ESN	Africa from ESN
Population	AFR___GWD	Africa from GWD
Population	AFR___LWK	Africa from LWK
Population	AFR___MSL	Africa from MSL
Population	AFR___YRI	Africa from YRI
Population	AMR___CLM	Americas from CLM
Population	AMR___MXL	Americas from MXL
Population	AMR___PEL	Americas from PEL
Population	AMR___PUR	Americas from PUR
Population	EAS___CDX	East Asia from CDX
Population	EAS___CHB	East Asia from CHB
Population	EAS___CHS	East Asia from CHS
Population	EAS___JPT	East Asia from JPT
Population	EAS___KHV	East Asia from KHV
Population	EUR___CEU	Europe from CEU
Population	EUR___FIN	Europe from FIN  
Population	EUR___GBR	Europe from GBR
Population	EUR___IBS	Europe from IBS
Population	EUR___TSI	Europe from TSI
Population	Unknown	Unknown from Unknown
Population	SAS___BEB	South Asia from BEB
Population	SAS___GIH	South Asia from GIH
Population	SAS___ITU	South Asia from ITU
Population	SAS___PJL	South Asia from PJL
Population	SAS___STU	South Asia from STU
